       31264     51-392 -94 173 245
       32 11     31-296-148  42  72
       32 17     41-212-156 -42 -23
       32 23     81-384-311 -95 -59
       32 35     51-306-230 -99 -53
       32 59     61-478-233  95 163
       32 65     21-213-171 -64 -47
       32 77     61-396-271 -41   8
       32 83     61-268-125  42  73
       32 95     81-432-248  47  68
       32 95     91-164-126 -61 -33
       32101     41-461-240  14  67
       32107     81-188-125 -20  -6
       32107     91-262-213 -85 -76
       32119     91  99 -19 -89-100
       32119    101-134  -6  91 112
       32131     31 103-121-228-245
       32137     61-338-324-168-134
       32143     71-203-150 -36 -31
       32149     61-298-237-117 -70
       32161     71-564-543-359-287
       33  7     21-515-462-231-161
       33  7     31 -88-102 -74 -71
       33 14     51-310-244 -98 -57
       33 21     41-263-364-315-294
       33 21     51 -87 -67 -15 -21
       33 35     41-248 -85  80 109
       33 35     51-569-459-251-151
       33 42     31  74  64  43  29
       33 49     41-343-172  54  88
       33 49     51-150-183-122-129
       33 56     31 -92-158-154-152
       33 63     51-206-190 -97 -84
       33 63     61-164-111 -33 -13
       33 70     71-254-149   3  34
       33 77     51-176 -41  88 102
       33 77     61-224-139 -44  -4
       33 98     41   9-119-168-169
       33 98    141-280-294-224-175
       33 98    171-303-230 -82 -35
       33 98    191 -95-138-114-113
       33105     31-205-168 -69 -51
       33126     91-486-328 -21  33
       33133     31 -40  12  54  47
       33147     51 -97 -55   7   3
       33147     71-181-228-191-168
       33147     81-147-296-251-300
       33154     71-244-179 -50 -27
       33154     81  78-247-403-387
       33168     31-161-152 -79 -74
       33168     41 -52 -98 -86 -92
       33175     41-192-194-115-105
       33175     51-300-219 -82 -32
       34  3     41-261-183 -37 -10
       34 21     219999999999999999
       34 21     31 -73 -79 -63 -51
       34 27     61-325-245 -79 -31
       34 51     31-307-178  16  36
       34 51     41-325-241-100 -61
       34 63     41-346-258 -98 -38
       34 69     919998999899989998
       34 81     31-172-174 -44-120
       34 93     61-398-261 -57  14
       34 99     61 -15 -31 -35 -35
       34 99     81-120 -70  -5   8
       34105     31 -97 -60  -2  -1
       34105     41 -30  24  51  58
       34111     51-292-272-156-111
       34111     61-293-222 -72 -63
       34129     51-524-245  69 165
       34135     51-284-176  -1  14
       34135     61-319-173 -11  48
       34141     51-327-279-168-109
       34147     61-221-112  25  53
       34153     41-144-117 -44 -35
       34159     41-478-341 -80  -2
       34159     51-185 -16 168 123
       35  5     51-330-122 110 141
       35  5     61 -29 -46 -36 -42
       35 21     41-190-115   5  15
       35 45     41-237-179 -49 -37
       35 53     61-245-164  -9 -23
       35 61     41-131  35 124 152
       35 69     41-243 -52 148 144
       35 69     51-210-166 -76 -49
       35109     31-353-245 -55  -4
       35109     41 -92-156-135-142
       35117     51-207-182 -88 -68
       35125     71-252-137  18  50
       35125     81  15  35  39  35
       35133     81-312-181  16  39
       35133     91 -80-166-178-169
       35141     519999999999999999
       35141     61-162-173-128-107
       35141     71-313-339-269-217
       35149     51-368-224   7  43
       35149     61 132 -52-240-183
       35165     41-319-206 -13  11
       35173     51-331-271-107 -66
       35173     61-442-287  -6  41
       35173     719996999699969996
       35189     41-153-102 -10 -13
       35197     41-201 -60  74  99
       35197     51  26  88  85 106
       36  9     21 -54 -49 -23 -26
       36  9     31  60 -45-119-132
       36 17     41-341-179  42  77
       36 25     41-132 -84 -21  -4
       36 33     31-101 -96 -54 -48
       36 41     51-147-103 -21 -13
       36 41     61-276-106  50 104
       36 57     31-329-304-167-119
       36 65     31-242-202 -80 -65
       36 65     41-229-224-138-120
       36 89     41 -57-152-176-181
       36 97     51-323-227 -41  -9
       36113     61-218-217-126-109
       36121     81   0 -53 -79 -86
       36169     41  60-103-178-188
       36185     41-351-151  87 125
       36185     51 -64 -87 -43 -76
       36201     71-343-305-158-105
       37  2     31-169-134 -42 -42
       37  8     31-323-163  43  78
       37 38     51-153-173-120-112
       37 38     61-221-212-105-110
       37 44     71-341-164  57 106
       37 44     81 -69-269-307-312
       37 50     21-177-135 -35 -36
       37 56     71-155-110 -32 -14
       37 56     81 106  68  23  11
       37 62     71 -82 -17  32  45
       37 74     61-309-185 -41  16
       37 80     41-304-338-275-225
       37 86     51-406-205  24  98
       37 92     31-151-174-131-116
       37 92     61-206-124  -9  13
       37104     71-212 -87  49  80
       37104     81  71  87  46  65
       37110     51-138-254-258-255
       37116     61-599-344  -6 118
       37122     41-309-271-114 -86
       37122     51-222 -50 176  92
       37128     61-221-103  32  65
       37128     71-235-249-109-154
       37134     51-312-237-105 -57
       37140     31-255-288-229-190
       37152     41-343-258 -77 -30
       37152     51-324-250 -82 -44
       37158     21-214-229-137-140
       38  2     819998999899989998
       38  2     91-417-463-385-344
       38  7     31-344-194  11  62
       38  7     41-266-314-174-211
       38 12     81-426-396-192-151
       38 12     91-445-403-184-141
       38 22     41-277-173 -18  22
       38 22     51-179-101 -26   9
       38 27     61-300-158  36  71
       38 27     71-130 -91  31 -25
       38 32     61-567-357 -73  13
       38 42     41-395-360-162-125
       38 57     31-206-233-191-155
       38 62     919999999999999999
       38 62    101-511 -72 266 374
       38 67     81-185-199-135-120
       38 72     31-215  44 263 249
       38 72     41-266-217-116 -71
       38 87     51-114-177-162-159
       38 87     61-288-283-203-151
       38 97     41-366-220  20  36
       38 97     51-377-223 -24  44
       38107     61-380-391-275-210
       38107     71 -18 -32 -28 -30
       38117     41-155 -95  -1  10
       38117     51-251-319-285-246
       38132     41-153 -83  18  26
       38132     51-356-236 -22  14
       39  4     31-151 -41  70  86
       39 12     41-118  38 171 171
       39 36     31-260-122  52  81
       39 68     71-262-159   0  28
       39 84     61-304-141  53  99
       39 84     71-166-116 -43 -19
       39124     51-327-148  77  99
       39188     31-317-158  50  80
       39188     41-458-308 -91 -30
       39196     61-287-254-143-105
       40 13     81-389-440-342-292
       40 27     31  62-165-293-321
       40 41     51-346-173  58  85
       40 41     61 -75 -84 -46 -54
       40 48     91 -81 -31  28  32
       40 62     51 -44-176-222-232
       40 62     61 175 -92-260-259
       40 69     41-320-144  34  95
       40 76     91-494-426-212-132
       40118     81-276-268-141-119
       40125     71-258-144  21  45
       40125     81-392-212   4  46
       40132     71-286-194 -45  -1
       40132     81 -55-185-204-211
       40146     71-187-174 -95 -77
       40146     81 -86-196-195-200
       40174     41-282-223 -68 -56
       40174     51-297-310-235-183
       40181     61-349-264 -88 -37
       40188     31-301-372-318-289
