       22 74    -.81982    1.00
       22 81    -.27098    4.00
       22 88    -.64577    3.00
       22 95    -.58146    3.00
       22102    -.72590    2.00
       22109    -.72590    2.00
       22116    -.42885    4.00
       22123    -.66515    2.00
       22130    -.37299    4.00
       22132    -.63067    3.00
       22144    -.61738    3.00
       22151    -.43451    4.00
       22158    -.69203    2.00
       22165    -.54682    3.00
       22172    -.75279    1.00
       22179    -.75158    1.00
       22186    -.59891    3.00
       23 11    -.66904    2.00
       23 18    -.41735    4.00
       23 32    -.93528    1.00
       23 39    -.32837    4.00
       23 46    -.63587    3.00
       23 53    -.64215    3.00
       23 60    -.52309    3.00
       23 67    -.56052    3.00
       23 74    -.61526    3.00
       23 81    -.59681    3.00
       23 88    -.70290    2.00
       23 95    -.52019    3.00
       23102    -.53134    3.00
       23109    -.45316    4.00
       23116    -.72394    2.00
       23123    -.63082    3.00
       23130    -.61526    3.00
       23137    -.61880    3.00
       23144    -.66515    2.00
       23151    -.73738    2.00
       23158    -.63906    3.00
       23165    -.44700    4.00
       23172    -.66594    2.00
       23179    -.48121    4.00
       23186    -.07239    5.00
       23189    -.34950    4.00
       23191    -.43971    4.00
       24  2    -.62273    3.00
       24 10    -.73997    2.00
       24 18    -.79970    1.00
       24 26    -.58414    3.00
       24 34    -.09954    5.00
       24 42    -.73299    2.00
       24 50    -.50077    3.00
       24 58    -.80719    1.00
       24 66    -.75279    1.00
       24 74    -.65565    2.00
       24 82    -.66257    2.00
       24 90    -.59916    3.00
       24 98    -.30211    4.00
       24106    -.62579    3.00
       24114    -.61919    3.00
       24122    -.53737    3.00
       24130    -.78239    1.00
       24138    -.80283    1.00
       24146    -.55780    3.00
       24154    -.66515    2.00
       24162    -.73934    2.00
       24170    -.56575    3.00
       24178    -.83617    1.00
       24186    -.65093    2.00
       24194    -.78239    1.00
       24202    -.72765    2.00
       24210    -.84961    1.00
       25  1    -.59682    3.00
       25  7    -.65757    2.00
       25 13    -.26369    4.00
       25 19    -.58639    3.00
       25 25    -.47772    4.00
       25 31    -.59759    3.00
       25 37    -.30270    4.00
       25 43    -.64785    3.00
       25 49    -.42451    4.00
       25 55    -.56021    3.00
       25 61    -.55550    3.00
       25 67    -.42481    4.00
       25 73    -.67746    2.00
       25 79    -.36626    4.00
       25 85    -.54949    3.00
       25 91    -.58982    3.00
       25 97     .15434    5.00
       25103    -.41137    4.00
       25109    -.50644    3.00
       25115    -.54677    3.00
       25121    -.13161    5.00
       25127    -.49223    4.00
       25133    -.65514    2.00
       25139    -.53333    3.00
       25145    -.58064    3.00
       25151    -.10088    5.00
       25157    -.24281    4.00
       26  2    -.72040    2.00
       26  7    -.66550    2.00
       26 12    -.59288    3.00
       26 17    -.57512    3.00
       26 22    -.78939    1.00
       26 27    -.53833    3.00
       26 32    -.52959    3.00
       26 37    -.73110    2.00
       26 42    -.54904    3.00
       26 47    -.74454    2.00
       26 52    -.72590    2.00
       26 57    -.65170    2.00
       26 62    -.47484    4.00
       26 67    -.44333    4.00
       26 72    -.67115    2.00
       26 77    -.47484    4.00
       26 82    -.31297    4.00
       26 87    -.62787    3.00
       26 92    -.73110    2.00
       26 97    -.58606    3.00
       26102    -.43971    4.00
       26107    -.51753    3.00
       26112    -.44796    4.00
       26117    -.46140    4.00
       26122    -.56183    3.00
       26127    -.49081    4.00
       26132    -.83617    1.00
       27  5    -.60752    3.00
       27 11    -.59408    3.00
       27 17     .24991    5.00
       27 23    -.61723    3.00
       27 29    -.03465    5.00
